1,1/1/20
2,1/2/20
3,1/3/20
4,1/4/20
5,1/5/20
6,1/6/20
7,1/7/20
8,1/8/20
9,1/9/20
10,1/10/20
11,1/11/20
12,1/12/20
13,1/13/20
14,1/14/20
15,1/15/20
16,1/16/20
17,1/17/20
18,1/18/20
19,1/19/20
20,1/20/20
21,1/21/20
22,1/22/20
23,1/23/20
24,1/24/20
25,1/25/20
26,1/26/20
27,1/27/20
28,1/28/20
29,1/29/20
30,1/30/20
31,1/31/20
32,2/1/20
33,2/2/20
34,2/3/20
35,2/4/20
36,2/5/20
37,2/6/20
38,2/7/20
39,2/8/20
40,2/9/20
41,2/10/20
42,2/11/20
43,2/12/20
44,2/13/20
45,2/14/20
46,2/15/20
47,2/16/20
48,2/17/20
49,2/18/20
50,2/19/20
51,2/20/20
52,2/21/20
53,2/22/20
54,2/23/20
55,2/24/20
56,2/25/20
57,2/26/20
58,2/27/20
59,2/28/20
60,2/29/20
61,3/1/20
62,3/2/20
63,3/3/20
64,3/4/20
65,3/5/20
66,3/6/20
67,3/7/20
68,3/8/20
69,3/9/20
70,3/10/20
71,3/11/20
72,3/12/20
73,3/13/20
74,3/14/20
75,3/15/20
76,3/16/20
77,3/17/20
78,3/18/20
79,3/19/20
80,3/20/20
81,3/21/20
82,3/22/20
83,3/23/20
84,3/24/20
85,3/25/20
86,3/26/20
87,3/27/20
88,3/28/20
89,3/29/20
90,3/30/20
91,3/31/20
92,4/1/20
93,4/2/20
94,4/3/20
95,4/4/20
96,4/5/20
97,4/6/20
98,4/7/20
99,4/8/20
100,4/9/20
101,4/10/20
102,4/11/20
103,4/12/20
104,4/13/20
105,4/14/20
106,4/15/20
107,4/16/20
108,4/17/20
109,4/18/20
110,4/19/20
111,4/20/20
112,4/21/20
113,4/22/20
114,4/23/20
115,4/24/20
116,4/25/20
117,4/26/20
118,4/27/20
119,4/28/20
120,4/29/20
121,4/30/20
122,5/1/20
123,5/2/20
124,5/3/20
125,5/4/20
126,5/5/20
127,5/6/20
128,5/7/20
129,5/8/20
130,5/9/20
131,5/10/20
132,5/11/20
133,5/12/20
134,5/13/20
135,5/14/20
136,5/15/20
137,5/16/20
138,5/17/20
139,5/18/20
140,5/19/20
141,5/20/20
142,KY
143,CO
144,CO
145,OK
146,MO
147,AR
148,NC
149,CA
150,CO
151,CO
152,GA
153,MD
154,MO
155,OK
156,KS
157,ID
158,MN
159,TX
160,TX
161,TX
162,KS
163,NE
164,NM
165,KY
166,MN
167,WA
168,AK
169,NE
170,NE
171,NE
172,MO
173,TX
174,TX
175,TX
176,OK
177,WI
178,NE
179,NE
180,NE
181,MN
182,MN
183,OK
184,IA
185,IA
186,WY
187,MO
188,MO
189,CO
190,CO
191,CO
192,CO
193,CO
194,MO
195,MO
196,TX
197,TX
198,TX
199,TX
200,AR
201,TX
202,TX
203,SC
204,OK
205,TX
206,OK
207,OK
208,KS
209,KS
210,KS
211,KS
212,KS
213,KS
214,KS
215,KS
216,KS
217,ID
218,TX
219,MO
220,TX
221,MO
222,MO
223,OH
224,CO
225,CO
226,CO
227,MO
228,MO
229,TX
230,TX
231,TX
232,WY
233,WY
234,MO
235,TX
236,TX
237,MO
238,ND
239,CO
240,ND
241,NE
242,NE
243,OK
244,MN
245,OK
246,IN
247,TX
248,KS
249,WI
250,TX
251,ND
252,MN
253,IL
254,TX
255,TX
256,TX
257,OK
258,OK
259,OK
260,OK
261,IL
262,OK
263,OK
264,OK
265,TX
266,NE
267,NE
268,NE
269,LA
270,OK
271,NC
272,NE
273,TX
274,OK
275,OK
276,TX
277,TX
278,TX
279,TX
280,TX
281,TX
282,TX
283,TX
284,ND
285,TX
286,TX
287,TX
288,OK
289,TX
290,TX
291,NM
292,NM
293,IL
294,IL
295,TX
296,TX
297,AR
298,AR
299,MO
300,MO
301,CO
302,OK
303,MO
304,OK
305,AR
306,NC
307,OK
308,AZ
309,CO
310,OK
311,OK
312,AR
313,OK
314,OK
315,OK
316,OK
317,OK
318,OK
